Origin,Destination,Company,Departure Time,Arrival Time,Duration Time,Flight Price,Date,Cabin Class,Flight Id
BOM,DEL,IndiGo ,8:30,10:25,1h 55m,"6,153",14-02-2022,Economy,A1000
BOM,DEL,IndiGo ,7:45,9:50,2h 05m,"5,943",14-02-2022,Economy,A1001
BOM,DEL,Vistara ,12:25,14:30,2h 05m,"6,249",14-02-2022,Economy,A1002
BOM,DEL,IndiGo ,10:05,12:15,2h 10m,"5,943",14-02-2022,Economy,A1003
BOM,DEL,IndiGo ,13:40,15:50,2h 10m,"5,943",14-02-2022,Economy,A1004
BOM,DEL,IndiGo ,9:20,11:30,2h 10m,"5,943",14-02-2022,Economy,A1005
BOM,DEL,Air India ,8:00,10:15,2h 15m,"5,943",14-02-2022,Economy,A1006
BOM,DEL,Air India ,10:00,12:15,2h 15m,"5,943",14-02-2022,Economy,A1007
BOM,DEL,Vistara ,11:55,14:05,2h 10m,"6,249",14-02-2022,Economy,A1008
BOM,DEL,IndiGo ,11:45,14:00,2h 15m,"5,943",14-02-2022,Economy,A1009
BOM,DEL,SpiceJet ,7:20,9:35,2h 15m,"6,540",14-02-2022,Economy,A1010
BOM,DEL,SpiceJet ,10:15,12:30,2h 15m,"6,540",14-02-2022,Economy,A1011
BOM,DEL,Vistara ,10:25,12:40,2h 15m,"6,249",14-02-2022,Economy,A1012
BOM,DEL,Vistara ,14:40,16:55,2h 15m,"6,249",14-02-2022,Economy,A1013
BOM,DEL,Vistara ,8:45,11:00,2h 15m,"6,360",14-02-2022,Economy,A1014
BOM,DEL,IndiGo ,7:05,9:20,2h 15m,"6,153",14-02-2022,Economy,A1015
BOM,DEL,AirAsia India ,7:20,9:30,2h 10m,"6,967",14-02-2022,Economy,A1016
BOM,DEL,Vistara ,7:00,9:05,2h 05m,"8,245",14-02-2022,Economy,A1017
DEL,BOM,Air India ,18:00,20:00,2h,"5,955",14-02-2022,Economy,A1018
DEL,BOM,Go First ,15:30,17:35,2h 05m,"5,900",14-02-2022,Economy,A1019
DEL,BOM,Go First ,17:00,19:05,2h 05m,"5,900",14-02-2022,Economy,A1020
DEL,BOM,Air India ,20:00,22:10,2h 10m,"5,955",14-02-2022,Economy,A1021
DEL,BOM,Go First ,22:30,0:40,2h 10m,"5,900",14-02-2022,Economy,A1022
DEL,BOM,IndiGo ,17:15,19:25,2h 10m,"5,955",14-02-2022,Economy,A1023
DEL,BOM,IndiGo ,18:40,20:50,2h 10m,"5,955",14-02-2022,Economy,A1024
DEL,BOM,Air India ,19:00,21:15,2h 15m,"5,955",14-02-2022,Economy,A1025
DEL,BOM,SpiceJet ,18:55,21:05,2h 10m,"6,543",14-02-2022,Economy,A1026
DEL,BOM,Vistara ,15:30,17:40,2h 10m,"6,261",14-02-2022,Economy,A1027
DEL,BOM,Vistara ,19:50,22:00,2h 10m,"6,261",14-02-2022,Economy,A1028
DEL,BOM,Vistara ,20:40,22:50,2h 10m,"6,261",14-02-2022,Economy,A1029
